datetime,open,close,high,low,volume,amount,avg_price
2026-02-09 09:30:00,11.05,11.05,11.05,11.05,4404,4865867.0,11.05
2026-02-09 09:31:00,11.05,11.03,11.06,11.02,17418,19229537.0,11.042
2026-02-09 09:32:00,11.03,11.01,11.02,11.01,11179,12316885.0,11.034
2026-02-09 09:33:00,11.01,11.02,11.02,11.01,8675,9555244.0,11.03
2026-02-09 09:34:00,11.02,11.02,11.03,11.01,6288,6929156.0,11.029
2026-02-09 09:35:00,11.02,11.02,11.02,11.01,4881,5375210.0,11.027
2026-02-09 09:36:00,11.02,11.01,11.02,11.01,3794,4178387.0,11.026
2026-02-09 09:37:00,11.01,11.02,11.02,11.01,3218,3543689.0,11.025
2026-02-09 09:38:00,11.02,11.03,11.04,11.01,8509,9379246.0,11.025
2026-02-09 09:39:00,11.03,11.03,11.04,11.03,6492,7160532.0,11.026
2026-02-09 09:40:00,11.03,11.04,11.04,11.03,2532,2793579.0,11.026
2026-02-09 09:41:00,11.04,11.03,11.05,11.03,8813,9727064.0,11.027
2026-02-09 09:42:00,11.03,11.03,11.04,11.02,5113,5639533.0,11.027
2026-02-09 09:43:00,11.03,11.03,11.04,11.02,1542,1700766.0,11.027
2026-02-09 09:44:00,11.03,11.03,11.04,11.02,1465,1615761.0,11.027
2026-02-09 09:45:00,11.03,11.04,11.04,11.02,1967,2169872.0,11.027
2026-02-09 09:46:00,11.04,11.05,11.05,11.03,7796,8605939.0,11.028
2026-02-09 09:47:00,11.05,11.06,11.06,11.04,6956,7687008.0,11.03
2026-02-09 09:48:00,11.06,11.04,11.06,11.04,8580,9481442.0,11.031
2026-02-09 09:49:00,11.04,11.07,11.07,11.04,17316,19140863.0,11.034
2026-02-09 09:50:00,11.07,11.05,11.07,11.05,6882,7607440.0,11.035
2026-02-09 09:51:00,11.05,11.05,11.06,11.05,9803,10841901.0,11.037
2026-02-09 09:52:00,11.05,11.06,11.07,11.05,12026,13301328.0,11.038
2026-02-09 09:53:00,11.06,11.06,11.07,11.06,2083,2305217.0,11.039
2026-02-09 09:54:00,11.06,11.07,11.07,11.06,2501,2768476.0,11.039
2026-02-09 09:55:00,11.07,11.09,11.09,11.07,17177,19034128.0,11.043
2026-02-09 09:56:00,11.09,11.09,11.1,11.08,10036,11135044.0,11.046
2026-02-09 09:57:00,11.09,11.09,11.1,11.09,6575,7296301.0,11.047
2026-02-09 09:58:00,11.09,11.09,11.1,11.09,7149,7931956.0,11.049
2026-02-09 09:59:00,11.09,11.09,11.1,11.08,2807,3113692.0,11.049
2026-02-09 10:00:00,11.09,11.1,11.11,11.09,10643,11812733.0,11.052
2026-02-09 10:01:00,11.1,11.1,11.11,11.1,7103,7885098.0,11.053
2026-02-09 10:02:00,11.1,11.1,11.11,11.09,6031,6694801.0,11.055
2026-02-09 10:03:00,11.1,11.09,11.1,11.09,2767,3069190.0,11.055
2026-02-09 10:04:00,11.09,11.09,11.1,11.09,3561,3949676.0,11.055
2026-02-09 10:05:00,11.09,11.09,11.1,11.08,2638,2925394.0,11.056
2026-02-09 10:06:00,11.09,11.08,11.09,11.08,2780,3080952.0,11.056
2026-02-09 10:07:00,11.08,11.08,11.08,11.07,6447,7142988.0,11.057
2026-02-09 10:08:00,11.08,11.08,11.08,11.07,1001,1108300.0,11.057
2026-02-09 10:09:00,11.08,11.08,11.08,11.07,1522,1685310.0,11.057
2026-02-09 10:10:00,11.08,11.08,11.08,11.07,1281,1418432.0,11.057
2026-02-09 10:11:00,11.08,11.07,11.08,11.07,3331,3688334.0,11.057
