成交时间,成交价格,价格变动,成交量,成交金额,性质
09:36:33,10.96,0.01,1808,1980948,买盘
09:36:36,10.96,0.0,26,28503,卖盘
09:36:39,10.97,0.01,150,164532,买盘
09:36:42,10.96,-0.01,160,175396,卖盘
09:36:48,10.97,0.01,4,4388,买盘
09:36:51,10.96,-0.01,52,56996,卖盘
09:36:54,10.97,0.01,79,86599,买盘
09:36:57,10.96,-0.01,52,56996,卖盘
09:37:00,10.96,0.0,1074,1177119,卖盘
09:37:03,10.97,0.01,1898,2081977,买盘
09:37:06,10.97,0.0,484,530936,买盘
09:37:09,10.97,0.0,70,76795,买盘
09:37:12,10.97,0.0,108,118477,卖盘
09:37:15,10.97,0.0,104,114076,卖盘
09:37:18,10.97,0.0,146,160064,买盘
09:37:21,10.97,0.0,214,234650,买盘
09:37:24,10.96,-0.01,12,13160,卖盘
09:37:27,10.96,0.0,250,274039,卖盘
09:37:30,10.96,0.0,7,7676,卖盘
09:37:33,10.96,0.0,207,226883,卖盘
09:37:36,10.97,0.01,330,361855,买盘
09:37:39,10.97,0.0,29,31789,买盘
09:37:42,10.96,-0.01,19,20829,卖盘
09:37:45,10.96,0.0,954,1045785,卖盘
09:37:48,10.96,0.0,98,107430,卖盘
09:37:51,10.96,0.0,525,575339,卖盘
09:37:54,10.95,-0.01,252,276023,卖盘
09:37:57,10.95,0.0,70,76662,卖盘
09:38:00,10.95,0.0,221,241995,卖盘
09:38:03,10.97,0.02,177,193957,买盘
09:38:09,10.96,-0.01,31,33976,买盘
09:38:12,10.97,0.01,117,128310,买盘
09:38:15,10.97,0.0,111,121734,买盘
09:38:18,10.96,-0.01,69,75680,卖盘
09:38:21,10.97,0.01,528,579216,买盘
09:38:24,10.97,0.0,20,21940,买盘
09:38:27,10.97,0.0,10,10970,买盘
09:38:30,10.97,0.0,21,23029,买盘
09:38:33,10.97,0.0,159,174280,买盘
09:38:36,10.97,0.0,214,234758,买盘
09:38:39,10.97,0.0,13,14261,买盘
09:38:42,10.97,0.0,7,7679,买盘
09:38:45,10.96,-0.01,31,33988,卖盘
09:38:48,10.96,0.0,134,146914,卖盘
09:38:51,10.96,0.0,23,25212,卖盘
09:38:54,10.97,0.01,144,157846,买盘
09:38:57,10.96,-0.01,90,98652,卖盘
09:39:00,10.97,0.01,37,40576,买盘
09:39:03,10.97,0.0,625,685534,买盘
09:39:06,10.97,0.0,147,161268,卖盘
09:39:09,10.97,0.0,37,40601,卖盘
09:39:12,10.97,0.0,1392,1525728,卖盘
09:39:15,10.96,-0.01,51,55904,中性盘
09:39:18,10.97,0.01,23,25215,买盘
09:39:21,10.96,-0.01,93,102017,卖盘
09:39:24,10.96,0.0,136,149188,卖盘
09:39:27,10.96,0.0,33,36172,卖盘
09:39:30,10.96,0.0,5,5484,卖盘
09:39:33,10.97,0.01,139,152375,买盘
09:39:36,10.97,0.0,16,17552,买盘
09:39:39,10.96,-0.01,27,29607,卖盘
09:39:42,10.97,0.01,18,19736,买盘
09:39:45,10.96,-0.01,99,108554,卖盘
09:39:48,10.96,0.0,256,280634,卖盘
09:39:51,10.96,0.0,6,6576,卖盘
09:39:54,10.96,0.0,41,44956,卖盘
09:39:57,10.97,0.01,8,8773,买盘
09:40:00,10.97,0.0,34,37294,买盘
09:40:03,10.97,0.0,209,229181,买盘
09:40:06,10.96,-0.01,17,18632,卖盘
09:40:09,10.96,0.0,115,126068,卖盘
09:40:12,10.96,0.0,33,36168,卖盘
09:40:15,10.96,0.0,1,1096,卖盘
09:40:21,10.97,0.01,96,105312,买盘
09:40:24,10.97,0.0,45,49365,买盘
09:40:27,10.97,0.0,35,38366,买盘
09:40:30,10.96,-0.01,96,105216,卖盘
09:40:33,10.96,0.0,96,105225,卖盘
09:40:36,10.96,0.0,87,95352,卖盘
09:40:39,10.96,0.0,168,184128,卖盘
09:40:42,10.96,0.0,73,80008,卖盘
09:40:45,10.97,0.01,21,23037,买盘
09:40:48,10.97,0.0,40,43855,买盘
09:40:51,10.97,0.0,51,55899,买盘
09:40:54,10.96,-0.01,60,65760,卖盘
09:40:57,10.97,0.01,20,21940,买盘
09:41:00,10.96,-0.01,18,19729,卖盘
09:41:03,10.96,0.0,7,7678,卖盘
09:41:06,10.96,0.0,60,65770,卖盘
09:41:09,10.97,0.01,2,2194,买盘
09:41:12,10.97,0.0,24,26312,买盘
09:41:15,10.96,-0.01,11,12056,卖盘
09:41:18,10.96,0.0,52,56992,卖盘
09:41:21,10.96,0.0,255,279670,卖盘
09:41:24,10.96,0.0,130,142480,卖盘
09:41:27,10.97,0.01,409,448585,买盘
09:41:30,10.96,-0.01,102,111792,卖盘
09:41:33,10.96,0.0,1720,1885120,卖盘
09:41:36,10.96,0.0,113,123740,买盘
09:41:39,10.95,-0.01,62,67923,卖盘
09:41:42,10.96,0.01,30,32861,买盘
09:41:48,10.96,0.0,98,107312,买盘
09:41:51,10.96,0.0,454,497583,买盘
09:41:54,10.96,0.0,20,21920,买盘
09:41:57,10.95,-0.01,17,18615,卖盘
09:42:00,10.95,0.0,107,117169,卖盘
09:42:03,10.96,0.01,4,4384,买盘
09:42:06,10.95,-0.01,210,229950,卖盘
